gene_name gene_id tx_id chr start end strand distance lonely
SLC25A46 ENSG00000164209 ENST00000355943 chr5 110739007 110765157 + 1048209 Yes
EIF3F ENSG00000175390 ENST00000651655 chr11 7987337 8001852 + 1043847 Yes
ATL2 ENSG00000119787 ENST00000378954 chr2 38293954 38377273 - 1043452 Yes
TRIB2 ENSG00000071575 ENST00000155926 chr2 12716936 12742734 + 1039315 Yes
SNX13 ENSG00000071189 ENST00000428135 chr7 17790761 17940494 - 1037006 Yes
SLC35B4 ENSG00000205060 ENST00000378509 chr7 134289332 134316930 - 1036259 Yes
PPP2R5C ENSG00000078304 ENST00000694906 chr14 101761709 101927977 + 1036004 Yes
ZMIZ1 ENSG00000108175 ENST00000334512 chr10 79068966 79316519 + 1035206 Yes
ZXDB ENSG00000198455 ENST00000374888 chrX 57592011 57597477 + 1028384 Yes
SRBD1 ENSG00000068784 ENST00000263736 chr2 45388680 45611267 - 1026733 Yes
UBE2E3 ENSG00000170035 ENST00000410062 chr2 180980605 181063425 + 1022372 Yes
CMSS1 ENSG00000184220 ENST00000421999 chr3 99817862 100181732 + 1021896 Yes
MFSD9 ENSG00000135953 ENST00000258436 chr2 102714630 102736888 - 1017780 Yes
PBDC1 ENSG00000102390 ENST00000373358 chrX 76173062 76178314 + 1016652 Yes
ISOC1 ENSG00000066583 ENST00000173527 chr5 129094749 129114028 + 1010983 Yes
GRK3 ENSG00000100077 ENST00000324198 chr22 25564675 25729294 + 1008717 Yes
HBS1L ENSG00000112339 ENST00000367837 chr6 134960378 135054822 - 1008208 Yes
DICER1 ENSG00000100697 ENST00000343455 chr14 95086228 95157529 - 1004927 Yes
TTC14 ENSG00000163728 ENST00000296015 chr3 180602163 180611130 + 997473 Yes
GOT1 ENSG00000120053 ENST00000370508 chr10 99396870 99430624 - 985931 Yes
ASPH ENSG00000198363 ENST00000379454 chr8 61500556 61714592 - 983620 Yes
ANGPT1 ENSG00000154188 ENST00000517746 chr8 107249482 107497918 - 979338 Yes
ATG7 ENSG00000197548 ENST00000693202 chr3 11272397 11557665 + 979178 Yes
ARMCX5 ENSG00000125962 ENST00000473968 chrX 102599515 102604159 + 976371 Yes
SUCLA2 ENSG00000136143 ENST00000646932 chr13 47942656 48001273 - 974480 Yes
ANAPC1 ENSG00000153107 ENST00000341068 chr2 111767640 111884193 - 974111 Yes
ELAC2 ENSG00000006744 ENST00000338034 chr17 12991612 13018027 - 970783 Yes
NR3C1 ENSG00000113580 ENST00000394464 chr5 143277934 143403686 - 967504 Yes
CAND1 ENSG00000111530 ENST00000545606 chr12 67269358 67319953 + 966865 Yes
ASCC3 ENSG00000112249 ENST00000369162 chr6 100508194 100881329 - 965807 Yes
MID1IP1 ENSG00000165175 ENST00000614558 chrX 38801459 38806532 + 964683 Yes
KCTD3 ENSG00000136636 ENST00000259154 chr1 215567304 215621807 + 964119 Yes
WDR11 ENSG00000120008 ENST00000263461 chr10 120851362 120909524 + 958598 Yes
SC5D ENSG00000109929 ENST00000264027 chr11 121292771 121313410 + 956268 Yes
CSTF2T ENSG00000177613 ENST00000331173 chr10 51695486 51699595 - 956168 Yes
DNAJC13 ENSG00000138246 ENST00000260818 chr3 132417502 132539032 + 955290 Yes
SS18 ENSG00000141380 ENST00000415083 chr18 26016253 26090613 - 954329 Yes
PRRC2C ENSG00000117523 ENST00000647382 chr1 171485530 171593511 + 953711 Yes
KRR1 ENSG00000111615 ENST00000229214 chr12 75490863 75511609 - 953028 Yes
MED10 ENSG00000133398 ENST00000255764 chr5 6371874 6378547 - 951210 Yes
APBA2 ENSG00000276495 ENST00000620457 chrCHR_HSCHR15_4_CTG8 29062308 29259075 + 949818 Yes
PRDX6 ENSG00000117592 ENST00000340385 chr1 173477335 173488815 + 944981 Yes
UFL1 ENSG00000014123 ENST00000369278 chr6 96521806 96555276 + 944110 Yes
RNGTT ENSG00000111880 ENST00000369485 chr6 88609897 88963618 - 935037 Yes
PSAP ENSG00000197746 ENST00000394936 chr10 71816298 71851251 - 934018 Yes
TMEM260 ENSG00000070269 ENST00000261556 chr14 56579798 56649515 + 929282 Yes
MMADHC ENSG00000168288 ENST00000303319 chr2 149569637 149587775 - 925197 Yes
ITPRID2 ENSG00000138434 ENST00000431877 chr2 181891730 181930738 + 924482 Yes
NBPF12 ENSG00000268043 ENST00000698835 chr1 146938324 146996198 + 920856 Yes
MTMR8 ENSG00000102043 ENST00000374852 chrX 64268081 64395452 - 920853 Yes
IMPACT ENSG00000154059 ENST00000284202 chr18 24426670 24453531 + 920450 Yes
ZNF644 ENSG00000122482 ENST00000337393 chr1 90915304 91022035 - 920188 Yes
RPL38 ENSG00000172809 ENST00000311111 chr17 74203678 74210655 + 919958 Yes
MDH1 ENSG00000014641 ENST00000233114 chr2 63588963 63607197 + 914758 Yes
RNASEH2B ENSG00000136104 ENST00000336617 chr13 50909791 50956762 + 913859 Yes
AIG1 ENSG00000146416 ENST00000357847 chr6 143060889 143341058 + 913334 Yes
EIF3E ENSG00000104408 ENST00000220849 chr8 108201216 108248717 - 913305 Yes
TARS1 ENSG00000113407 ENST00000265112 chr5 33440965 33468086 + 909063 Yes
ENO1 ENSG00000074800 ENST00000234590 chr1 8861000 8878686 - 906709 Yes
EPAS1 ENSG00000116016 ENST00000263734 chr2 46297407 46386697 + 904987 Yes
SOX5 ENSG00000134532 ENST00000451604 chr12 23529504 23949670 - 904429 Yes
FAM217B ENSG00000196227 ENST00000360816 chr20 59940389 59948680 + 900619 Yes
VPS13B ENSG00000132549 ENST00000357162 chr8 99013274 99877580 + 895973 Yes
PON2 ENSG00000105854 ENST00000222572 chr7 95404862 95435028 - 895643 Yes
TBC1D5 ENSG00000131374 ENST00000696125 chr3 17157168 17742631 - 892002 Yes
LYPLAL1 ENSG00000143353 ENST00000366928 chr1 219173878 219212858 + 888576 Yes
ZEB1 ENSG00000148516 ENST00000424869 chr10 31319216 31529804 + 884474 Yes
YIPF5 ENSG00000145817 ENST00000274496 chr5 144158162 144170659 - 880231 Yes
LONRF1 ENSG00000154359 ENST00000398246 chr8 12721906 12755526 - 879382 Yes
TFPI ENSG00000003436 ENST00000233156 chr2 187464230 187554435 - 874220 Yes
VANGL1 ENSG00000173218 ENST00000355485 chr1 115641970 115698221 + 872491 Yes
PHF20L1 ENSG00000129292 ENST00000395386 chr8 132775388 132848807 + 871265 Yes
TMEM161B ENSG00000164180 ENST00000296595 chr5 88195047 88268845 - 871217 Yes
KBTBD8 ENSG00000163376 ENST00000417314 chr3 66998307 67011210 + 864697 Yes
COX6C ENSG00000164919 ENST00000520468 chr8 99877865 99893707 - 859934 Yes
HIBADH ENSG00000106049 ENST00000265395 chr7 27525442 27662883 - 858374 Yes
ATE1 ENSG00000107669 ENST00000224652 chr10 121740424 121928031 - 858088 Yes
SPRY2 ENSG00000136158 ENST00000377104 chr13 80335976 80341126 - 854821 Yes
MED6 ENSG00000133997 ENST00000256379 chr14 70583221 70600655 - 854357 Yes
DIPK2A ENSG00000181744 ENST00000315691 chr3 143971823 143992368 + 852052 Yes
NME7 ENSG00000143156 ENST00000367811 chr1 169132531 169367797 - 851654 Yes
SLC7A1 ENSG00000139514 ENST00000380752 chr13 29509414 29595688 - 850349 Yes
UBQLN2 ENSG00000188021 ENST00000338222 chrX 56563627 56567868 + 845878 Yes
DOCK9 ENSG00000088387 ENST00000682017 chr13 98793429 98978064 - 839771 Yes
ARRDC3 ENSG00000113369 ENST00000265138 chr5 91368631 91383317 - 839287 Yes
RPS3A ENSG00000145425 ENST00000274065 chr4 151099628 151104642 + 835189 Yes
PPM1K ENSG00000163644 ENST00000608933 chr4 88257620 88284561 - 835047 Yes
AFDN ENSG00000130396 ENST00000683244 chr6 167826911 167972023 + 827719 Yes
GULP1 ENSG00000144366 ENST00000409830 chr2 188291874 188595926 + 827439 Yes
EPB41L2 ENSG00000079819 ENST00000337057 chr6 130839347 131063245 - 825648 Yes
GALNT5 ENSG00000136542 ENST00000259056 chr2 157257705 157318491 + 822415 Yes
TRAK1 ENSG00000182606 ENST00000327628 chr3 42091357 42225890 + 819061 Yes
STX7 ENSG00000079950 ENST00000367941 chr6 132445867 132513116 - 817425 Yes
TRUB1 ENSG00000165832 ENST00000298746 chr10 114938195 114977676 + 817333 Yes
TM2D1 ENSG00000162604 ENST00000606498 chr1 61681046 61725141 - 815787 Yes
NPTN ENSG00000156642 ENST00000345330 chr15 73560014 73633389 - 808720 Yes
ARHGAP24 ENSG00000138639 ENST00000395184 chr4 85475150 86002666 + 806385 Yes
RB1CC1 ENSG00000023287 ENST00000025008 chr8 52622458 52714435 - 804883 Yes
RDH14 ENSG00000240857 ENST00000381249 chr2 18554723 18560653 - 800865 Yes
ANXA1 ENSG00000135046 ENST00000257497 chr9 73151865 73170393 + 800452 Yes
SMAD5 ENSG00000113658 ENST00000545279 chr5 136132845 136182733 + 798464 Yes
ZBTB18 ENSG00000179456 ENST00000358704 chr1 244051283 244057476 + 792513 Yes
VPS13A ENSG00000197969 ENST00000360280 chr9 77177534 77421537 + 791919 Yes
CPPED1 ENSG00000103381 ENST00000381774 chr16 12659799 12803887 - 791671 Yes
ASXL2 ENSG00000143970 ENST00000435504 chr2 25733753 25878487 - 790117 Yes
POLR2M ENSG00000255529 ENST00000299638 chr15 57706714 57717557 + 788072 Yes
COP1 ENSG00000143207 ENST00000367669 chr1 175944831 176207286 - 787845 Yes
CEP85L ENSG00000111860 ENST00000368491 chr6 118460772 118651591 - 785303 Yes
SEC24B ENSG00000138802 ENST00000265175 chr4 109433815 109540896 + 783187 Yes
LONP2 ENSG00000102910 ENST00000285737 chr16 48244300 48357349 + 783177 Yes
SLC25A26 ENSG00000144741 ENST00000354883 chr3 66221001 66378923 + 780085 Yes
SMYD3 ENSG00000185420 ENST00000490107 chr1 245749347 246507279 - 779660 Yes
STX8 ENSG00000170310 ENST00000306357 chr17 9250471 9575820 - 776264 Yes
PRKX ENSG00000183943 ENST00000262848 chrX 3604340 3713649 - 775518 Yes
APBA2 ENSG00000034053 ENST00000683413 chr15 28885974 29118315 + 773443 Yes
KLF3 ENSG00000109787 ENST00000261438 chr4 38664199 38701517 + 773113 Yes
ERCC6L2 ENSG00000182150 ENST00000653738 chr9 95875691 96018447 + 772210 Yes
ATG5 ENSG00000057663 ENST00000369076 chr6 106184476 106325760 - 772205 Yes
USP25 ENSG00000155313 ENST00000400183 chr21 15729982 15880064 + 768747 Yes
HELZ ENSG00000198265 ENST00000358691 chr17 67070444 67245196 - 767831 Yes
KANSL1 ENSG00000120071 ENST00000432791 chr17 46029916 46193429 - 766797 Yes
DAAM1 ENSG00000100592 ENST00000360909 chr14 59188667 59371403 + 761261 Yes
VIRMA ENSG00000164944 ENST00000297591 chr8 94487689 94553469 - 759534 Yes
MAD2L1 ENSG00000164109 ENST00000296509 chr4 120055623 120066848 - 759204 Yes
IL10RA ENSG00000110324 ENST00000227752 chr11 117986394 118001483 + 753745 Yes
FAM72B ENSG00000188610 ENST00000369390 chr1 121167646 121184340 - 752611 Yes
MME ENSG00000196549 ENST00000360490 chr3 155080319 155183704 + 751578 Yes
RTRAF ENSG00000087302 ENST00000261700 chr14 51989546 52010694 + 749352 Yes
USP46 ENSG00000109189 ENST00000441222 chr4 52590960 52659301 - 747960 Yes
LNPK ENSG00000144320 ENST00000272748 chr2 175923882 176002267 - 747624 Yes
BPNT2 ENSG00000104331 ENST00000262644 chr8 56957931 56993867 - 746245 Yes
PUM3 ENSG00000080608 ENST00000397885 chr9 2804152 2844095 - 740179 Yes
UXS1 ENSG00000115652 ENST00000283148 chr2 106093311 106194301 - 735596 Yes
AMPD3 ENSG00000133805 ENST00000396553 chr11 10455264 10507579 + 734643 Yes
ASNS ENSG00000070669 ENST00000394308 chr7 97851677 97872408 - 733979 Yes
MTHFSD ENSG00000103248 ENST00000360900 chr16 86530186 86555235 - 731545 Yes
SFMBT2 ENSG00000198879 ENST00000397167 chr10 7158624 7411034 - 731481 Yes
TDRD3 ENSG00000083544 ENST00000377881 chr13 60397220 60573871 + 730874 Yes
CHMP6 ENSG00000176108 ENST00000325167 chr17 80991841 81000133 + 730746 Yes
BET1 ENSG00000105829 ENST00000222547 chr7 93993245 94004355 - 730422 Yes
IQGAP2 ENSG00000145703 ENST00000274364 chr5 76403285 76708132 + 729161 Yes
RAB11FIP2 ENSG00000107560 ENST00000355624 chr10 118004916 118046941 - 727642 Yes
IRF2 ENSG00000168310 ENST00000393593 chr4 184387729 184474550 - 726435 Yes
ZC3H14 ENSG00000100722 ENST00000251038 chr14 88563037 88627596 + 725150 Yes
FANCC ENSG00000158169 ENST00000289081 chr9 95099054 95317709 - 724485 Yes
MTHFD1L ENSG00000120254 ENST00000367321 chr6 150865702 151101887 + 722635 Yes
ANAPC10 ENSG00000164162 ENST00000507656 chr4 144994576 145098196 - 722605 Yes
PKP4 ENSG00000144283 ENST00000389759 chr2 158456952 158681429 + 720701 Yes
AMIGO2 ENSG00000139211 ENST00000550413 chr12 47076447 47079959 - 717519 Yes
USP31 ENSG00000103404 ENST00000219689 chr16 23061406 23149452 - 715470 Yes
SLC25A13 ENSG00000004864 ENST00000265631 chr7 96120220 96322098 - 715358 Yes
RRS1 ENSG00000179041 ENST00000320270 chr8 66429014 66430733 + 714680 Yes
EPC2 ENSG00000135999 ENST00000258484 chr2 148644751 148787569 + 714044 Yes
BTBD10 ENSG00000148925 ENST00000278174 chr11 13388008 13463222 - 713587 Yes
ECT2 ENSG00000114346 ENST00000392692 chr3 172750726 172821474 + 711104 Yes
PHACTR1 ENSG00000112137 ENST00000332995 chr6 12716767 13287837 + 707550 Yes
MPHOSPH6 ENSG00000135698 ENST00000258169 chr16 82148162 82170224 - 702990 Yes
YTHDC1 ENSG00000083896 ENST00000344157 chr4 68310387 68350090 - 697735 Yes
COL6A5 ENSG00000172752 ENST00000373157 chr3 130345672 130484846 + 697724 Yes
METTL9 ENSG00000197006 ENST00000358154 chr16 21599577 21657471 + 697350 Yes
ZNF330 ENSG00000109445 ENST00000262990 chr4 141220895 141234697 + 696719 Yes
PARP4 ENSG00000102699 ENST00000381989 chr13 24420931 24512778 - 690742 Yes
ANXA3 ENSG00000138772 ENST00000264908 chr4 78551770 78610447 + 688917 Yes
POLQ ENSG00000051341 ENST00000264233 chr3 121431431 121545988 - 688794 Yes
NIPBL ENSG00000164190 ENST00000282516 chr5 36876769 37066413 + 684180 Yes
MAP3K7 ENSG00000135341 ENST00000369329 chr6 90513579 90587072 - 683679 Yes
RAB32 ENSG00000118508 ENST00000367495 chr6 146543833 146554953 + 679588 Yes
ST3GAL1 ENSG00000008513 ENST00000522652 chr8 133454848 133571887 - 679490 Yes
ANTXR2 ENSG00000163297 ENST00000403729 chr4 79901146 80073229 - 675452 Yes
MED30 ENSG00000164758 ENST00000297347 chr8 117520713 117540262 + 674779 Yes
PTAR1 ENSG00000188647 ENST00000340434 chr9 69709525 69760011 - 673771 Yes
FNDC3A ENSG00000102531 ENST00000492622 chr13 48975912 49209779 + 672168 Yes
CTNNB1 ENSG00000168036 ENST00000349496 chr3 41199505 41240443 + 669863 Yes
TNFAIP3 ENSG00000118503 ENST00000612899 chr6 137867259 137883312 + 669731 Yes
CXCL8 ENSG00000169429 ENST00000307407 chr4 73740569 73743716 + 667143 Yes
ZNF202 ENSG00000166261 ENST00000530393 chr11 123723914 123741660 - 666425 Yes
SPIN1 ENSG00000106723 ENST00000375859 chr9 88388444 88478694 + 664379 Yes
KCNK1 ENSG00000135750 ENST00000366621 chr1 233614106 233672514 + 663501 Yes
USP6NL ENSG00000148429 ENST00000609104 chr10 11460510 11611650 - 662113 Yes
STXBP5 ENSG00000164506 ENST00000321680 chr6 147204417 147390473 + 660347 Yes
STK35 ENSG00000125834 ENST00000381482 chr20 2101827 2148555 + 659665 Yes
CNOT2 ENSG00000111596 ENST00000229195 chr12 70243433 70354993 + 657576 Yes
SMAD2 ENSG00000175387 ENST00000262160 chr18 47808957 47930659 - 656123 Yes
ORC5 ENSG00000164815 ENST00000297431 chr7 104126341 104208013 - 654960 Yes
MITF ENSG00000187098 ENST00000352241 chr3 69739464 69968332 + 654519 Yes
DCUN1D5 ENSG00000137692 ENST00000260247 chr11 103050686 103092160 - 654354 Yes
PHKA2 ENSG00000044446 ENST00000379942 chrX 18892298 18984114 - 652985 Yes
GABBR1 ENSG00000206466 ENST00000383542 chrCHR_HSCHR6_MHC_MCF_CTG1 29602032 29632960 - 652259 Yes
NEK7 ENSG00000151414 ENST00000367385 chr1 198156998 198322420 + 652246 Yes
FBXW7 ENSG00000109670 ENST00000281708 chr4 152320544 152536092 - 650040 Yes
ALG10 ENSG00000139133 ENST00000266483 chr12 34022496 34028302 + 648230 Yes
KIT ENSG00000157404 ENST00000288135 chr4 54657957 54740715 + 647478 Yes
SYT10 ENSG00000110975 ENST00000228567 chr12 33374238 33439819 - 646748 Yes
KIF21A ENSG00000139116 ENST00000361418 chr12 39293228 39443120 - 646406 Yes
PFDN4 ENSG00000101132 ENST00000371419 chr20 54208087 54219961 + 641016 Yes
MSL3 ENSG00000005302 ENST00000312196 chrX 11758237 11775772 + 640508 Yes
CAST ENSG00000153113 ENST00000675179 chr5 96662376 96774683 + 640169 Yes
SNX19 ENSG00000120451 ENST00000265909 chr11 130866250 130916479 - 639573 Yes
EDEM3 ENSG00000116406 ENST00000318130 chr1 184690237 184754858 - 638586 Yes
XPO6 ENSG00000169180 ENST00000304658 chr16 28097976 28211965 - 638421 Yes
ANXA11 ENSG00000122359 ENST00000422982 chr10 80150889 80205537 - 638356 Yes
KLF6 ENSG00000067082 ENST00000497571 chr10 3775996 3785209 - 638268 Yes
SDHAF3 ENSG00000196636 ENST00000432641 chr7 97117698 97181763 + 636072 Yes
ZNF521 ENSG00000198795 ENST00000361524 chr18 25061924 25352166 - 635290 Yes
CHIC2 ENSG00000109220 ENST00000263921 chr4 54009789 54064605 - 632220 Yes
BCR ENSG00000186716 ENST00000305877 chr22 23180509 23318037 + 632003 Yes
EEA1 ENSG00000102189 ENST00000322349 chr12 92770637 92929295 - 630359 Yes
PIAS2 ENSG00000078043 ENST00000585916 chr18 46803218 46917507 - 629665 Yes
CEP83 ENSG00000173588 ENST00000397809 chr12 94307698 94459867 - 629074 Yes
NEDD1 ENSG00000139350 ENST00000266742 chr12 96907257 96953780 + 628963 Yes
DHRSX ENSG00000169084 ENST00000334651 chrX 2219506 2500976 - 627902 Yes
PPP1R3B ENSG00000285343 ENST00000645121 chrCHR_HG76_PATCH 10805701 10820105 + 627725 Yes
MDM1 ENSG00000111554 ENST00000682720 chr12 68294566 68332362 - 624105 Yes
ITGB1 ENSG00000150093 ENST00000302278 chr10 32900318 32958230 - 619522 Yes
ADTRP ENSG00000111863 ENST00000414691 chr6 11713523 11778803 - 618220 Yes
COG6 ENSG00000133103 ENST00000455146 chr13 39655662 39752628 + 617321 Yes
CHM ENSG00000188419 ENST00000357749 chrX 85861180 86047558 - 617189 Yes
SENP7 ENSG00000138468 ENST00000394095 chr3 101324205 101513212 - 614910 Yes
LANCL2 ENSG00000132434 ENST00000254770 chr7 55365337 55433737 + 613087 Yes
NAPG ENSG00000134265 ENST00000322897 chr18 10526027 10552764 + 611889 Yes
GORAB ENSG00000120370 ENST00000367763 chr1 170532166 170553834 + 610493 Yes
NMD3 ENSG00000169251 ENST00000351193 chr3 161221311 161252307 + 609689 Yes
LCP2 ENSG00000043462 ENST00000046794 chr5 170246233 170297777 - 608965 Yes
WDR12 ENSG00000138442 ENST00000261015 chr2 202874261 202911673 - 608525 Yes
APPL1 ENSG00000157500 ENST00000288266 chr3 57227729 57273471 + 607594 Yes
ZBTB40 ENSG00000184677 ENST00000375647 chr1 22451851 22531154 + 606594 Yes
FASTKD2 ENSG00000118246 ENST00000402774 chr2 206765606 206796189 + 605772 Yes
RIMKLB ENSG00000166532 ENST00000535829 chr12 8697991 8777191 + 604661 Yes
MKLN1 ENSG00000128585 ENST00000352689 chr7 131327876 131496632 + 603858 Yes
ARPP19 ENSG00000128989 ENST00000249822 chr15 52547045 52569030 - 594939 Yes
CMTR2 ENSG00000180917 ENST00000434935 chr16 71281392 71289402 - 593950 Yes
SCOC ENSG00000153130 ENST00000608372 chr4 140373646 140385728 + 591518 Yes
P2RY1 ENSG00000169860 ENST00000305097 chr3 152835131 152841439 + 591303 Yes
CDYL ENSG00000153046 ENST00000397588 chr6 4776404 4955544 + 590466 Yes
ANLN ENSG00000011426 ENST00000265748 chr7 36389862 36453791 + 588889 Yes
PJA2 ENSG00000198961 ENST00000361189 chr5 109334722 109409974 - 586872 Yes
ATIC ENSG00000138363 ENST00000236959 chr2 215312059 215349764 + 586310 Yes
ARHGAP5 ENSG00000100852 ENST00000345122 chr14 32077304 32159728 + 586158 Yes
FAM98A ENSG00000119812 ENST00000238823 chr2 33583660 33599299 - 585791 Yes
NLK ENSG00000087095 ENST00000407008 chr17 28042677 28196381 + 585289 Yes
TRIM24 ENSG00000122779 ENST00000343526 chr7 138460259 138589996 + 585280 Yes
MKRN3 ENSG00000179455 ENST00000314520 chr15 23565674 23568044 + 582482 Yes
TEAD1 ENSG00000187079 ENST00000527636 chr11 12674421 12944737 + 580413 Yes
HEPH ENSG00000089472 ENST00000343002 chrX 66164247 66267389 + 574294 Yes
EVL ENSG00000196405 ENST00000392920 chr14 100065422 100144236 + 573701 Yes
GPD1L ENSG00000152642 ENST00000282541 chr3 32106620 32168709 + 573051 Yes
PMAIP1 ENSG00000141682 ENST00000316660 chr18 59899996 59904305 + 572173 Yes
GATB ENSG00000059691 ENST00000263985 chr4 151670504 151761007 - 570880 Yes
AKAP10 ENSG00000108599 ENST00000225737 chr17 19904302 19977828 - 569994 Yes
MINDY3 ENSG00000148481 ENST00000277632 chr10 15778174 15860507 - 566527 Yes
SLC12A2 ENSG00000064651 ENST00000262461 chr5 128083766 128189677 + 566126 Yes
FDX1 ENSG00000137714 ENST00000260270 chr11 110429948 110464884 + 565653 Yes
FAM111A ENSG00000166801 ENST00000675163 chr11 59142856 59155039 + 563685 Yes
TBX18 ENSG00000112837 ENST00000369663 chr6 84732496 84764598 - 563110 Yes
TAF7 ENSG00000178913 ENST00000313368 chr5 141318490 141320784 - 561204 Yes
GABBR1 ENSG00000232569 ENST00000439457 chrCHR_HSCHR6_MHC_APD_CTG1 29602362 29633284 - 560898 Yes
GABBR1 ENSG00000204681 ENST00000377034 chr6 29602238 29633183 - 560844 Yes
GABBR1 ENSG00000232632 ENST00000423604 chrCHR_HSCHR6_MHC_COX_CTG1 29598829 29629760 - 560837 Yes
GABBR1 ENSG00000237112 ENST00000425097 chrCHR_HSCHR6_MHC_DBB_CTG1 29602186 29633117 - 560767 Yes
GABBR1 ENSG00000206511 ENST00000383638 chrCHR_HSCHR6_MHC_QBL_CTG1 29602149 29633080 - 560748 Yes
MSRB2 ENSG00000148450 ENST00000376510 chr10 23095579 23122013 + 560725 Yes
GABBR1 ENSG00000237051 ENST00000418225 chrCHR_HSCHR6_MHC_MANN_CTG1 29601818 29632716 - 560428 Yes
ATG10 ENSG00000152348 ENST00000282185 chr5 81972023 82256133 + 559219 Yes
STK17B ENSG00000081320 ENST00000263955 chr2 196133583 196171578 - 557606 Yes
USP15 ENSG00000135655 ENST00000280377 chr12 62260404 62416389 + 552065 Yes
TBC1D7 ENSG00000145979 ENST00000379300 chr6 13304951 13328537 - 550230 Yes
ZCCHC7 ENSG00000147905 ENST00000336755 chr9 37120574 37358149 + 547712 Yes
CASD1 ENSG00000127995 ENST00000297273 chr7 94509809 94557019 + 546457 Yes
NAP1L1 ENSG00000187109 ENST00000618691 chr12 76036585 76084685 - 545722 Yes
VPS41 ENSG00000006715 ENST00000310301 chr7 38722974 38909191 - 544729 Yes
POLA1 ENSG00000101868 ENST00000379068 chrX 24693918 24996986 + 544700 Yes
HES1 ENSG00000114315 ENST00000232424 chr3 194136148 194138732 + 543004 Yes
ZNF280D ENSG00000137871 ENST00000267807 chr15 56630176 56733509 - 542896 Yes
PLD1 ENSG00000075651 ENST00000351298 chr3 171600404 171810483 - 541990 Yes
LRRFIP1 ENSG00000124831 ENST00000308482 chr2 237627587 237781643 + 541705 Yes
CSNK2A3 ENSG00000254598 ENST00000528848 chr11 11351942 11353250 - 539868 Yes
FAM120B ENSG00000112584 ENST00000476287 chr6 170306758 170407067 + 539081 Yes
DMXL2 ENSG00000104093 ENST00000560891 chr15 51447791 51622771 - 539039 Yes
GNAQ ENSG00000156052 ENST00000286548 chr9 77716097 78031811 - 538652 Yes
YTHDC2 ENSG00000047188 ENST00000161863 chr5 113513694 113595284 + 536992 Yes
HEBP2 ENSG00000051620 ENST00000607197 chr6 138404223 138422197 + 536317 Yes
ABCD3 ENSG00000117528 ENST00000370214 chr1 94418389 94518663 + 533190 Yes
TANGO6 ENSG00000103047 ENST00000261778 chr16 68843531 69085182 + 532580 Yes
OSER1 ENSG00000132823 ENST00000255174 chr20 44195939 44210771 - 528920 Yes
MEF2C ENSG00000081189 ENST00000504921 chr5 88717117 88883184 - 527484 Yes
ZMYND8 ENSG00000101040 ENST00000471951 chr20 47209214 47356699 - 524849 Yes
TRIM44 ENSG00000166326 ENST00000299413 chr11 35662775 35818007 + 523893 Yes
CDKN2C ENSG00000123080 ENST00000371761 chr1 50970245 50974634 + 523717 Yes
TFB1M ENSG00000029639 ENST00000367166 chr6 155256134 155314484 - 522756 Yes
MTHFS ENSG00000136371 ENST00000258874 chr15 79843547 79897014 - 522473 Yes
POMP ENSG00000132963 ENST00000380842 chr13 28659130 28678959 + 520559 Yes
MAP3K20 ENSG00000091436 ENST00000375213 chr2 173075846 173268015 + 520062 Yes
MTMR9 ENSG00000104643 ENST00000221086 chr8 11284816 11328146 + 519855 Yes
IPO5 ENSG00000065150 ENST00000651721 chr13 97953675 98024296 + 519489 Yes
STEAP1B ENSG00000105889 ENST00000678116 chr7 22419444 22500188 - 518545 Yes
TAMM41 ENSG00000144559 ENST00000455809 chr3 11790442 11846885 - 518133 Yes
PAN3 ENSG00000152520 ENST00000380958 chr13 28138545 28295335 + 517764 Yes
RTN4 ENSG00000115310 ENST00000337526 chr2 54972189 55050451 - 515870 Yes
MTMR9 ENSG00000285032 ENST00000644306 chrCHR_HG76_PATCH 8628793 8666765 - 515289 Yes
KCTD7 ENSG00000243335 ENST00000639828 chr7 66628881 66643047 + 514277 Yes
ALDH1B1 ENSG00000137124 ENST00000377698 chr9 38392702 38398661 + 513302 Yes
PRPSAP2 ENSG00000141127 ENST00000268835 chr17 18858131 18931287 + 512225 Yes
SLC30A10 ENSG00000196660 ENST00000366926 chr1 219910445 219928557 - 511558 Yes
DNAH14 ENSG00000185842 ENST00000682510 chr1 224929675 225399286 + 511116 Yes
HIP1 ENSG00000127946 ENST00000336926 chr7 75533298 75738941 - 506176 Yes
NEK1 ENSG00000137601 ENST00000507142 chr4 169392809 169612583 - 505934 Yes
LBR ENSG00000143815 ENST00000272163 chr1 225401502 225428038 - 505240 Yes
PRPS1 ENSG00000147224 ENST00000372435 chrX 107628510 107651026 + 505001 Yes
FIP1L1 ENSG00000145216 ENST00000337488 chr4 53377641 53460862 + 504587 Yes
LRRC58 ENSG00000163428 ENST00000295628 chr3 120324509 120349354 - 503188 Yes
SEC22B ENSG00000265808 ENST00000578049 chr1 120150898 120176520 - 502487 Yes
ANP32A ENSG00000140350 ENST00000465139 chr15 68778535 68820895 - 500790 Yes
ARHGAP25 ENSG00000163219 ENST00000409202 chr2 68734811 68826833 + 500744 Yes
SERINC5 ENSG00000164300 ENST00000507668 chr5 80138727 80256048 - 499531 Yes
TFRC ENSG00000072274 ENST00000360110 chr3 196049284 196082090 - 498083 Yes
B9D1 ENSG00000108641 ENST00000261499 chr17 19343175 19362723 - 494223 Yes
